match_id,kickoff_time,league,season,home_team,away_team,model_prob__away,model_prob__draw,model_prob__home,snapshot_time,bookmaker,market,selection,decimal_odds,is_opening,minutes_to_kickoff,implied_prob,fair_prob,model_probability,edge,oos_calibration_gap,oos_yield,oos_hit_rate,source_artifacts_dir,model_prob__0,model_prob__1,bookmaker_rank,best_decimal_odds,market_average_odds,bookmaker_count,second_best_odds,agreement_count,agreement_score,odds_quality_score,calibration_score,yield_score,edge_score,report_rank_score,recommendation,confidence_label,strength_label,stake_suggestion,safe_stake_units,safe_kelly_pct,aggressive_kelly_pct,market_category
FD_PL_538089,2026-03-21 15:00:00,EPL,2025/2026,Fulham FC,Burnley FC,0.24330169853052444,0.20315104237591908,0.5535472590935565,2026-03-20 14:16:26.308588,Matchbook,1x2,away,6.8,0,1483.5615235333332,0.14705882352941177,0.14501628664495117,0.24330169853052444,0.09828541188557327,0.1,0.0,0.0,artifacts,,,1,6.8,6.177777777777778,18,6.8,6,1.0,0.09150326797385615,0.5,0.5,0.6552360792371552,0.5680581179290827,bet,strong_edge,medium,Full stake (25 units),28.209118534808887,0.028209118534808886,0.05,1x2
FD_PD_544499,2026-03-21 17:30:00,La Liga,2025/2026,CA Osasuna,Girona FC,0.37360569517176817,0.22161158065832146,0.4047827241699104,2026-03-20 14:16:28.184101,Betfair,1x2,away,3.6,0,1633.5302649833332,0.2777777777777778,0.2750497330122501,0.37360569517176817,0.09855596215951806,0.1,0.0,0.0,artifacts,,,1,3.6,3.341176470588235,17,3.55,6,1.0,0.07189542483660143,0.5,0.5,0.6570397477301204,0.5657482254310324,bet,strong_edge,medium,Full stake (25 units),33.17120217484283,0.03317120217484283,0.05,1x2
FD_PL_538090,2026-03-21 20:00:00,EPL,2025/2026,Leeds United FC,Brentford FC,0.4287767258584167,0.20629577189880258,0.3649275022427807,2026-03-20 14:16:26.308588,Matchbook,1x2,away,2.98,0,1783.5615235333332,0.33557046979865773,0.3306160094015441,0.4287767258584167,0.09816071645687258,0.1,0.0,0.0,artifacts,,,1,2.98,2.7766666666666664,18,2.98,6,1.0,0.06823266219239382,0.5,0.5,0.6544047763791505,0.5642765710615618,bet,strong_edge,medium,Full stake (25 units),35.07003068915174,0.035070030689151745,0.05,1x2
FD_PL_538093,2026-03-22 14:15:00,EPL,2025/2026,Tottenham Hotspur FC,Nottingham Forest FC,0.31417933010040716,0.18908947435739243,0.4967311955422004,2026-03-20 14:16:26.308588,Betfair,1x2,home,2.32,0,2878.561523533333,0.4310344827586207,0.4264010319621614,0.4967311955422004,0.07033016358003902,0.1,0.0,0.0,artifacts,,,1,2.32,2.2211111111111115,18,2.3,6,1.0,0.04262452107279671,0.5,0.5,0.46886775720026014,0.4954973931810106,bet,strong_edge,watch,Half stake (12.5 units),28.866737435209274,0.028866737435209275,0.05,1x2
FD_PL_538093,2026-03-22 14:15:00,EPL,2025/2026,Tottenham Hotspur FC,Nottingham Forest FC,0.31417933010040716,0.18908947435739243,0.4967311955422004,2026-03-20 14:16:26.308588,Betfair,home_win,home,2.32,0,2878.561523533333,0.4310344827586207,0.4264010319621614,0.4967311955422004,0.07033016358003902,0.1,0.0,0.0,artifacts,,,1,2.32,2.2211111111111115,18,2.3,6,1.0,0.04262452107279671,0.5,0.5,0.46886775720026014,0.4954973931810106,bet,strong_edge,watch,Half stake (12.5 units),28.866737435209274,0.028866737435209275,0.05,home_win
FD_BL1_540648,2026-03-21 17:30:00,Bundesliga,2025/2026,Borussia Dortmund,Hamburger SV,,,,2026-03-20 14:16:30.058083,William Hill,over_2_5,under_2_5,2.5,0,1633.49903195,0.4,0.375,0.44267516643177646,0.06767516643177646,0.1,0.0,0.0,artifacts_over25,0.44267516643177646,0.5573248335682236,1,2.5,2.5,1,,6,1.0,0.0,0.5,0.5,0.45116777621184306,0.4829087216741451,bet,strong_edge,watch,Half stake (12.5 units),17.78131934657353,0.017781319346573527,0.05,over_2_5
FD_BL1_540648,2026-03-21 17:30:00,Bundesliga,2025/2026,Borussia Dortmund,Hamburger SV,0.1748667525063857,0.16812672939594722,0.6570065180976671,2026-03-20 14:16:30.058083,Smarkets,1x2,away,8.4,0,1633.49903195,0.11904761904761904,0.11746737017495139,0.1748667525063857,0.05739938233143431,0.1,0.0,0.0,artifacts,,,1,8.4,7.061111111111111,18,8.2,6,1.0,0.15939153439153445,0.5,0.5,0.38266254887622875,0.48284062226541025,bet,small_edge,watch,Small stake (6.25 units),15.840564900460809,0.015840564900460808,0.05,1x2
FD_PL_538093,2026-03-22 14:15:00,EPL,2025/2026,Tottenham Hotspur FC,Nottingham Forest FC,,,,2026-03-20 14:16:26.308588,Matchbook,over_2_5,over_2_5,1.95,0,2878.561523533333,0.5128205128205129,0.5038167938931298,0.5617500568516784,0.057933262958548615,0.1,0.0,0.0,artifacts_over25,0.43824994314832155,0.5617500568516784,1,1.95,1.8939999999999997,5,1.91,6,1.0,0.028717948717948857,0.5,0.5,0.3862217530569908,0.46448530587763914,bet,small_edge,watch,Small stake (6.25 units),25.108581805466557,0.025108581805466556,0.05,over_2_5
FD_PL_538086,2026-03-22 14:15:00,EPL,2025/2026,Aston Villa FC,West Ham United FC,0.24142442989978363,0.21227924061774364,0.5462963294824728,2026-03-20 14:16:26.308588,Matchbook,1x2,home,2.02,0,2878.561523533333,0.49504950495049505,0.48931658783232757,0.5462963294824728,0.05697974165014519,0.1,0.0,0.0,artifacts,,,1,2.02,1.943888888888889,18,2.02,6,1.0,0.03767876787678763,0.5,0.5,0.3798649443343013,0.4636045456985236,bet,small_edge,watch,Small stake (6.25 units),25.372202341812482,0.02537220234181248,0.05,1x2
FD_PL_538086,2026-03-22 14:15:00,EPL,2025/2026,Aston Villa FC,West Ham United FC,0.24142442989978363,0.21227924061774364,0.5462963294824728,2026-03-20 14:16:26.308588,Matchbook,home_win,home,2.02,0,2878.561523533333,0.49504950495049505,0.48931658783232757,0.5462963294824728,0.05697974165014519,0.1,0.0,0.0,artifacts,,,1,2.02,1.943888888888889,18,2.02,6,1.0,0.03767876787678763,0.5,0.5,0.3798649443343013,0.4636045456985236,bet,small_edge,watch,Small stake (6.25 units),25.372202341812482,0.02537220234181248,0.05,home_win
FD_PL_538090,2026-03-21 20:00:00,EPL,2025/2026,Leeds United FC,Brentford FC,,,,2026-03-20 14:16:26.308588,Casumo,over_2_5,over_2_5,1.91,0,1783.5615235333332,0.5235602094240838,0.4947089947089948,0.5528990508706224,0.05819005616162759,0.1,0.0,0.0,artifacts_over25,0.4471009491293776,0.5528990508706224,1,1.91,1.8800000000000001,5,1.91,6,1.0,0.01570680628272241,0.5,0.5,0.38793370774418395,0.4631328186528728,bet,small_edge,watch,Small stake (6.25 units),15.39483163815625,0.01539483163815625,0.05,over_2_5
FD_PL_538086,2026-03-22 14:15:00,EPL,2025/2026,Aston Villa FC,West Ham United FC,,,,2026-03-20 14:16:26.308588,Matchbook,over_2_5,over_2_5,1.87,0,2878.561523533333,0.53475935828877,0.5241730279898218,0.5719068252049399,0.04773379721511806,0.1,0.0,0.0,artifacts_over25,0.4280931747950601,0.5719068252049399,1,1.87,1.7579999999999998,5,1.74,6,1.0,0.05989304812834242,0.5,0.5,0.31822531476745375,0.4453628173878602,pass,small_edge,pass,Small stake (6.25 units),19.96142618771195,0.01996142618771195,0.05,over_2_5
FD_BL1_540644,2026-03-22 18:30:00,Bundesliga,2025/2026,FC Augsburg,VfB Stuttgart,0.514569834422168,0.24909662222788972,0.2363335433499424,2026-03-20 14:16:30.058083,Betfair,1x2,away,2.08,0,3133.49903195,0.4807692307692307,0.47368421052631576,0.514569834422168,0.04088562389585221,0.1,0.0,0.0,artifacts,,,1,2.08,1.9683333333333333,18,2.06,6,1.0,0.0536858974358975,0.5,0.5,0.27257082597234805,0.42845267370570644,pass,small_edge,pass,Small stake (6.25 units),16.274364721784583,0.016274364721784583,0.05,1x2
FD_PL_538088,2026-03-21 17:30:00,EPL,2025/2026,Everton FC,Chelsea FC,0.4409301567076689,0.2543915314045151,0.3046783118878161,2026-03-20 14:16:26.308588,Matchbook,1x2,home,3.65,0,1633.5615235333332,0.273972602739726,0.2721598002496879,0.3046783118878161,0.03251851163812819,0.1,0.0,0.0,artifacts,,,1,3.65,3.4055555555555554,18,3.65,6,1.0,0.06697108066971082,0.5,0.5,0.21679007758752128,0.4109221892560891,pass,small_edge,pass,Small stake (6.25 units),10.573192300993263,0.010573192300993264,0.042292769203973055,1x2
FD_PL_538088,2026-03-21 17:30:00,EPL,2025/2026,Everton FC,Chelsea FC,0.4409301567076689,0.2543915314045151,0.3046783118878161,2026-03-20 14:16:26.308588,Matchbook,home_win,home,3.65,0,1633.5615235333332,0.273972602739726,0.2721598002496879,0.3046783118878161,0.03251851163812819,0.1,0.0,0.0,artifacts,,,1,3.65,3.4055555555555554,18,3.65,6,1.0,0.06697108066971082,0.5,0.5,0.21679007758752128,0.4109221892560891,pass,small_edge,pass,Small stake (6.25 units),10.573192300993263,0.010573192300993264,0.042292769203973055,home_win
FD_PL_538089,2026-03-21 15:00:00,EPL,2025/2026,Fulham FC,Burnley FC,,,,2026-03-20 14:16:26.308588,Matchbook,over_2_5,under_2_5,2.14,0,1483.5615235333332,0.4672897196261682,0.45959595959595967,0.4918486320959643,0.03225267250000463,0.1,0.0,0.0,artifacts_over25,0.4918486320959643,0.5081513679040356,1,2.14,1.9939999999999998,5,2.0,6,1.0,0.06822429906542073,0.5,0.5,0.21501781666669756,0.4104898806931572,pass,small_edge,pass,Small stake (6.25 units),11.52545453626396,0.01152545453626396,0.04610181814505584,over_2_5
FD_BL1_540644,2026-03-22 18:30:00,Bundesliga,2025/2026,FC Augsburg,VfB Stuttgart,,,,2026-03-20 14:16:30.058083,Casumo,over_2_5,under_2_5,2.4,0,3133.49903195,0.4166666666666667,0.3924050632911393,0.41370486764627357,0.02129980435513429,0.1,0.0,0.0,artifacts_over25,0.41370486764627357,0.5862951323537264,1,2.4,2.3575,4,2.4,6,1.0,0.017708333333333326,0.5,0.5,0.14199869570089527,0.37735579349531334,pass,watchlist,pass,No bet,0.0,0.0,0.0,over_2_5
FD_PD_544499,2026-03-21 17:30:00,La Liga,2025/2026,CA Osasuna,Girona FC,,,,2026-03-20 14:16:28.184101,Casumo,over_2_5,over_2_5,2.0,0,1633.5302649833332,0.5,0.4694960212201591,0.4903694881014502,0.020873466881291103,0.1,0.0,0.0,artifacts_over25,0.5096305118985498,0.4903694881014502,1,2.0,1.972,5,2.0,6,1.0,0.014000000000000012,0.5,0.5,0.13915644587527404,0.3758047560563459,pass,watchlist,pass,No bet,0.0,0.0,0.0,over_2_5
FD_PL_538088,2026-03-21 17:30:00,EPL,2025/2026,Everton FC,Chelsea FC,,,,2026-03-20 14:16:26.308588,Matchbook,over_2_5,under_2_5,2.08,0,1633.5615235333332,0.4807692307692307,0.46803069053708446,0.4737825189117267,0.0057518283746422205,0.1,0.0,0.0,artifacts_over25,0.4737825189117267,0.5262174810882733,1,2.08,2.024,5,2.02,6,1.0,0.026923076923076945,0.5,0.5,0.038345522497614803,0.34245939441262674,pass,watchlist,pass,No bet,0.0,0.0,0.0,over_2_5
FD_BL1_540644,2026-03-22 18:30:00,Bundesliga,2025/2026,FC Augsburg,VfB Stuttgart,0.514569834422168,0.24909662222788972,0.2363335433499424,2026-03-20 14:16:30.058083,Matchbook,home_win,home,3.6,0,3133.49903195,0.2777777777777778,0.27330131327041274,0.2363335433499424,-0.03696776992047035,0.1,0.0,0.0,artifacts,,,1,3.6,3.3694444444444445,18,3.6,6,1.0,0.06404320987654323,0.5,0.5,0.0,0.3346064814814814,pass,negative,pass,No bet,0.0,0.0,0.0,home_win
FD_PL_538090,2026-03-21 20:00:00,EPL,2025/2026,Leeds United FC,Brentford FC,0.4287767258584167,0.20629577189880258,0.3649275022427807,2026-03-20 14:16:26.308588,Betfair,home_win,home,2.6,0,1783.5615235333332,0.3846153846153846,0.38389519904198577,0.3649275022427807,-0.01896769679920507,0.1,0.0,0.0,artifacts,,,1,2.6,2.4722222222222223,18,2.58,6,1.0,0.04914529914529914,0.5,0.5,0.0,0.3323717948717948,pass,negative,pass,No bet,0.0,0.0,0.0,home_win
FD_PD_544499,2026-03-21 17:30:00,La Liga,2025/2026,CA Osasuna,Girona FC,0.37360569517176817,0.22161158065832146,0.4047827241699104,2026-03-20 14:16:28.184101,Betfair,home_win,home,2.22,0,1633.5302649833332,0.4504504504504504,0.446026594073919,0.4047827241699104,-0.04124386990400858,0.1,0.0,0.0,artifacts,,,1,2.22,2.133529411764706,17,2.2,6,1.0,0.038950715421303635,0.5,0.5,0.0,0.3308426073131955,pass,negative,pass,No bet,0.0,0.0,0.0,home_win
FD_BL1_540648,2026-03-21 17:30:00,Bundesliga,2025/2026,Borussia Dortmund,Hamburger SV,0.1748667525063857,0.16812672939594722,0.6570065180976671,2026-03-20 14:16:30.058083,Matchbook,home_win,home,1.43,0,1633.49903195,0.6993006993006994,0.6878761822871884,0.6570065180976671,-0.030869664189521306,0.1,0.0,0.0,artifacts,,,1,1.43,1.3794444444444445,18,1.43,6,1.0,0.03535353535353529,0.5,0.5,0.0,0.33030303030303027,pass,negative,pass,No bet,0.0,0.0,0.0,home_win
FD_PL_538089,2026-03-21 15:00:00,EPL,2025/2026,Fulham FC,Burnley FC,0.24330169853052444,0.20315104237591908,0.5535472590935565,2026-03-20 14:16:26.308588,Matchbook,home_win,home,1.59,0,1483.5615235333332,0.6289308176100629,0.6201954397394137,0.5535472590935565,-0.0666481806458572,0.1,0.0,0.0,artifacts,,,1,1.59,1.5338888888888889,18,1.59,6,1.0,0.035290006988120265,0.5,0.5,0.0,0.330293501048218,pass,negative,pass,No bet,0.0,0.0,0.0,home_win
